vehicle_ID;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;;;;;;;;;;;;;;;;;;;;;;;;;;;
a;2,099359445;0,853725533;0,7981721;2,276917322;1,546801581;4,155653319;0,513738779;0,599831074;0,59718109;0,664533581;0,800203657;1,514641925;0,686387263;1,172879428;2,404468753;2,066310442;0,593976955;0,503636684;0,572857642;1,859223542;1,05527237;0,70709279;0,674087597;0,640184799;1,33098753;0,719272028;2,407902503;1,466251271;2,955083914;0,511474468;1,846504715;0,513217456;;;;;;;;;;;;;;;;;;;;;;;;;;;
b;2,344961412;0,509323692;0,907375437;0,602271266;0,600357845;1,444723123;0,519275933;4,71960414;0,840727018;2,639988481;2,213302912;4,694121886;0,634235732;0,567815786;0,559852308;0,776590053;2,345458323;0,608463351;3,689481978;0,544026511;0,512375114;0,716008854;0,669260975;4,407391154;3,25721216;0,644527075;3,359104015;4,186937475;0,874859096;2,416847885;0,628116351;2,404303172;;;;;;;;;;;;;;;;;;;;;;;;;;;
s0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;2,444391724;0,224890142;0,183195442;1,942062848;1,019610614;2,474279521;0,205274967;0,215166332;0,469083942;0,189092338;0,662832241;0,302431646;1,27096869;2,746445181;0,702599265;3,674999487;2,638306799;0,592850382;0,238549105;0,817972028;2,684786907;0,427779533;1,170458793;0,138541707;0,867104759;1,687831136;0,716275485;1,588895799;1,378760335;3,134048459;0,804217703;1,159346826;;;;;;;;;;;;;;;;;;;;;;;;;;;
deltaTmax;0,597101992;0,656918553;0,104594822;2,695835178;2,986539906;1,118307286;0,104919474;0,862655492;0,002189833;1,585987801;0,009909742;0,191060337;2,574565467;2,523592464;1,152745345;2,403521985;0,022279336;0,413184693;0,697755802;1,636420021;2,573739345;2,120641388;2,996510542;2,778589406;2,354993332;2,124350884;1,354191994;2,993073224;2,876576769;2,161239454;0,922474698;2,670818387;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tmax;3,041493716;0,881808696;0,287790264;4,637898026;4,006150521;3,592586808;0,310194441;1,077821825;0,471273775;1,77508014;0,672741983;0,493491982;3,845534157;5,270037644;1,85534461;6,078521472;2,660586134;1,006035075;0,936304907;2,454392048;5,258526253;2,548420921;4,166969335;2,917131113;3,222098091;3,81218202;2,070467479;4,581969023;4,255337104;5,295287913;1,726692401;3,830165213;;;;;;;;;;;;;;;;;;;;;;;;;;;
v0;44,37825368;62,38851257;44,64837327;60,06565357;45,75794163;64,10215213;43,00130506;52,21449427;49,97794025;47,8774924;50,98708614;62,03656211;44,49486751;40,40728447;51,775985;49,27803742;63,31646668;44,1448486;55,39782291;37,38508203;45,5462554;46,44562853;61,96681387;48,12861755;48,73444843;40,7689403;42,29069301;39,64570174;53,39870298;68,6294884;46,57704445;47,96840794;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta;1,830229823;3,435195853;7,406811461;9,989087968;1,039956107;7,752840161;5,709508391;4,914568312;2,74831114;1,162691098;6,832974262;1,758040253;3,049704673;5,548165339;0,639924853;0,317804958;6,781346157;7,037101319;2,680506144;0,869307561;9,642780439;4,344007958;1,183714157;2,146229612;0,650047657;7,966455862;9,603346585;9,709024637;0,273245294;5,167226285;1,715925326;4,279231699;;;;;;;;;;;;;;;;;;;;;;;;;;;
lambda_relax;9,9728788;4,806219468;9,771841862;9,995159406;1,223972204;9,380503403;1,051711421;2,741777403;9,191226844;8,990235918;8,016512981;9,889403509;4,698047472;9,993409102;9,99238529;4,441389265;9,924336883;1,059742951;9,037659611;9,979261885;9,716910768;6,549917033;9,998610143;5,454796076;2,849277519;6,954480407;3,592821958;5,250299268;9,994068974;9,974922546;9,280708986;1,951359584;;;;;;;;;;;;;;;;;;;;;;;;;;;
dFree;0,885437885;1,76538271;0,561831722;0,495093436;0,526090416;2,942893195;0,760441391;1,713301083;1,216788639;1,790019862;2,478234886;2,200551328;1,10990471;0,258953778;0,722876987;1,698485045;1,941404567;3,483573229;2,506576505;0,455562533;0,789662328;1,613357233;1,084316972;3,987054605;1,697547632;1,257937181;0,746280682;1,629001019;1,775586039;1,427539844;1,171339184;1,912480999;;;;;;;;;;;;;;;;;;;;;;;;;;;
